 Destination Port; Flow Duration; Total Fwd Packets; Total Backward Packets;Total Length of Fwd Packets; Total Length of Bwd Packets; Fwd Packet Length Max; Fwd Packet Length Min; Fwd Packet Length Mean; Fwd Packet Length Std;Bwd Packet Length Max; Bwd Packet Length Min; Bwd Packet Length Mean; Bwd Packet Length Std; Flow IAT Mean; Flow IAT Std; Flow IAT Max; Flow IAT Min;Fwd IAT Total; Fwd IAT Mean; Fwd IAT Std; Fwd IAT Max; Fwd IAT Min;Bwd IAT Total; Bwd IAT Mean; Bwd IAT Std; Bwd IAT Max; Bwd IAT Min;Fwd PSH Flags; Bwd PSH Flags; Fwd URG Flags; Bwd URG Flags; Fwd Header Length; Bwd Header Length;Fwd Packets/s; Bwd Packets/s; Min Packet Length; Max Packet Length; Packet Length Mean; Packet Length Std; Packet Length Variance;FIN Flag Count; SYN Flag Count; RST Flag Count; PSH Flag Count; ACK Flag Count; URG Flag Count; CWE Flag Count; ECE Flag Count; Down/Up Ratio; Average Packet Size; Avg Fwd Segment Size; Avg Bwd Segment Size; Fwd Header Length;Fwd Avg Bytes/Bulk; Fwd Avg Packets/Bulk; Fwd Avg Bulk Rate; Bwd Avg Bytes/Bulk; Bwd Avg Packets/Bulk;Bwd Avg Bulk Rate;Subflow Fwd Packets; Subflow Fwd Bytes; Subflow Bwd Packets; Subflow Bwd Bytes;Init_Win_bytes_forward; Init_Win_bytes_backward; act_data_pkt_fwd; min_seg_size_forward;Active Mean; Active Std; Active Max; Active Min;Idle Mean; Idle Std; Idle Max; Idle Min; Label
54865;3;2;0;12;0;6;6;6;0;0;0;0;0;3;0;3;3;3;3;0;3;3;0;0;0;0;0;0;0;0;0;40;0;6666666667;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;9;6;0;40;0;0;0;0;0;0;2;12;0;0;33;-1;1;20;0;0;0;0;0;0;0;0;0
55054;109;1;1;6;6;6;6;6;0;6;6;6;0;109;0;109;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;9174311927;9174311927;6;6;6;0;0;0;0;0;0;1;1;0;0;1;9;6;6;20;0;0;0;0;0;0;1;6;1;6;29;256;0;20;0;0;0;0;0;0;0;0;0
55055;52;1;1;6;6;6;6;6;0;6;6;6;0;52;0;52;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;1923076923;1923076923;6;6;6;0;0;0;0;0;0;1;1;0;0;1;9;6;6;20;0;0;0;0;0;0;1;6;1;6;29;256;0;20;0;0;0;0;0;0;0;0;0
46236;34;1;1;6;6;6;6;6;0;6;6;6;0;34;0;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;2941176471;2941176471;6;6;6;0;0;0;0;0;0;1;1;0;0;1;9;6;6;20;0;0;0;0;0;0;1;6;1;6;31;329;0;20;0;0;0;0;0;0;0;0;0
54863;3;2;0;12;0;6;6;6;0;0;0;0;0;3;0;3;3;3;3;0;3;3;0;0;0;0;0;0;0;0;0;40;0;6666666667;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;9;6;0;40;0;0;0;0;0;0;2;12;0;0;32;-1;1;20;0;0;0;0;0;0;0;0;0
54871;1022;2;0;12;0;6;6;6;0;0;0;0;0;1022;0;1022;1022;1022;1022;0;1022;1022;0;0;0;0;0;0;0;0;0;40;0;1956947162;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;9;6;0;40;0;0;0;0;0;0;2;12;0;0;32;-1;1;20;0;0;0;0;0;0;0;0;0
54925;4;2;0;12;0;6;6;6;0;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;0;0;0;0;40;0;500000;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;9;6;0;40;0;0;0;0;0;0;2;12;0;0;32;-1;1;20;0;0;0;0;0;0;0;0;0
54925;42;1;1;6;6;6;6;6;0;6;6;6;0;42;0;42;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;2380952381;2380952381;6;6;6;0;0;0;0;0;0;1;0;0;0;1;9;6;6;20;0;0;0;0;0;0;1;6;1;6;32;256;0;20;0;0;0;0;0;0;0;0;0
9282;4;2;0;12;0;6;6;6;0;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;0;0;0;0;40;0;500000;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;9;6;0;40;0;0;0;0;0;0;2;12;0;0;32;-1;1;20;0;0;0;0;0;0;0;0;0
55153;4;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;1;0;0;0;40;0;500000;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;946;-1;1;20;0;0;0;0;0;0;0;0;0
55143;3;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;3;0;3;3;3;3;0;3;3;0;0;0;0;0;1;0;0;0;40;0;6666666667;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;980;-1;1;20;0;0;0;0;0;0;0;0;0
55144;1;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;40;0;2000000;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;980;-1;1;20;0;0;0;0;0;0;0;0;0
55145;4;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;1;0;0;0;40;0;500000;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;980;-1;1;20;0;0;0;0;0;0;0;0;0
55254;3;3;0;43;0;31;6;1433333333;1443375673;0;0;0;0;1.5;0.707106781;2;1;3;1.5;0.707106781;2;1;0;0;0;0;0;0;0;0;0;60;0;1000000;0;6;31;12.25;12.5;156.25;0;0;0;0;1;0;0;0;0;1633333333;1433333333;0;60;0;0;0;0;0;0;3;43;0;0;946;-1;2;20;0;0;0;0;0;0;0;0;0
36206;54;1;1;0;0;0;0;0;0;0;0;0;0;54;0;54;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32;1851851852;1851851852;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;32;0;0;0;0;0;0;1;0;1;0;939;1269;0;32;0;0;0;0;0;0;0;0;0
53524;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;64;0;2000000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;64;0;0;0;0;0;0;2;0;0;0;130;-1;0;32;0;0;0;0;0;0;0;0;0
53524;154;1;1;0;0;0;0;0;0;0;0;0;0;154;0;154;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32;6493506494;6493506494;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;32;0;0;0;0;0;0;1;0;1;0;130;65535;0;32;0;0;0;0;0;0;0;0;0
53526;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;64;0;2000000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;64;0;0;0;0;0;0;2;0;0;0;130;-1;0;32;0;0;0;0;0;0;0;0;0
53526;118;1;1;0;0;0;0;0;0;0;0;0;0;118;0;118;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32;8474576271;8474576271;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;32;0;0;0;0;0;0;1;0;1;0;130;65535;0;32;0;0;0;0;0;0;0;0;0
53527;239;1;1;0;0;0;0;0;0;0;0;0;0;239;0;239;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32;4184100418;4184100418;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;32;0;0;0;0;0;0;1;0;1;0;130;65535;0;32;0;0;0;0;0;0;0;0;0
53528;1;3;0;0;0;0;0;0;0;0;0;0;0;0.5;0.707106781;1;0;1;0.5;0.707106781;1;0;0;0;0;0;0;0;0;0;0;96;0;3000000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;96;0;0;0;0;0;0;3;0;0;0;130;-1;0;32;0;0;0;0;0;0;0;0;0
53527;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;64;0;2000000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;64;0;0;0;0;0;0;2;0;0;0;130;-1;0;32;0;0;0;0;0;0;0;0;0
55035;4;2;0;248;0;217;31;124;1315218613;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;1;0;0;0;40;0;500000;0;31;217;155;1073871501;11532;0;1;0;0;1;0;0;0;0;232.5;124;0;40;0;0;0;0;0;0;2;248;0;0;237;-1;1;20;0;0;0;0;0;0;0;0;0
55275;5;3;0;254;0;217;6;8466666667;115283708;0;0;0;0;2.5;2121320344;4;1;5;2.5;2121320344;4;1;0;0;0;0;0;1;0;0;0;60;0;600000;0;6;217;117.75;1150575943;13238.25;0;1;0;0;1;0;0;0;0;157;8466666667;0;60;0;0;0;0;0;0;3;254;0;0;123;-1;2;20;0;0;0;0;0;0;0;0;0
55277;4;2;0;12;0;6;6;6;0;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;0;0;0;0;40;0;500000;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;9;6;0;40;0;0;0;0;0;0;2;12;0;0;35095;-1;1;20;0;0;0;0;0;0;0;0;0
8850;4;3;0;43;0;31;6;1433333333;1443375673;0;0;0;0;2;1414213562;3;1;4;2;1414213562;3;1;0;0;0;0;0;0;0;0;0;60;0;750000;0;6;31;12.25;12.5;156.25;0;0;0;0;1;0;0;0;0;1633333333;1433333333;0;60;0;0;0;0;0;0;3;43;0;0;65;-1;2;20;0;0;0;0;0;0;0;0;0
43248;54;1;1;0;0;0;0;0;0;0;0;0;0;54;0;54;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32;1851851852;1851851852;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;32;0;0;0;0;0;0;1;0;1;0;59;439;0;32;0;0;0;0;0;0;0;0;0
8678;42;3;0;43;0;31;6;1433333333;1443375673;0;0;0;0;21;2545584412;39;3;42;21;2545584412;39;3;0;0;0;0;0;0;0;0;0;60;0;7142857143;0;6;31;12.25;12.5;156.25;0;0;0;0;1;0;0;0;0;1633333333;1433333333;0;60;0;0;0;0;0;0;3;43;0;0;64;-1;2;20;0;0;0;0;0;0;0;0;0
55063;4;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;4;0;4;4;4;4;0;4;4;0;0;0;0;0;1;0;0;0;40;0;500000;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;60;-1;1;20;0;0;0;0;0;0;0;0;0
55203;3;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;3;0;3;3;3;3;0;3;3;0;0;0;0;0;1;0;0;0;40;0;6666666667;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;60;-1;1;20;0;0;0;0;0;0;0;0;0
55140;3;2;0;37;0;31;6;18.5;1767766953;0;0;0;0;3;0;3;3;3;3;0;3;3;0;0;0;0;0;1;0;0;0;40;0;6666666667;0;6;31;2266666667;1443375673;2083333333;0;1;0;0;1;0;0;0;0;34;18.5;0;40;0;0;0;0;0;0;2;37;0;0;62;-1;1;20;0;0;0;0;0;0;0;0;0
